,country,year,sex,age,suicide_no,pop,HDI,gdp_for_year,suicide_person,generation
28,Albania,1989,male,15-24 years,12,323500,,2335124988,3.7094281298299845,Generation X
29,Albania,1989,female,35-54 years,7,288600,,2335124988,2.4255024255024256,Boomers
30,Albania,1989,female,15-24 years,5,299900,,2335124988,1.6672224074691564,Generation X
31,Albania,1989,female,25-34 years,2,266300,,2335124988,0.7510326699211416,Boomers
32,Albania,1989,female,55-74 years,1,149600,,2335124988,0.6684491978609626,Silent
33,Albania,1989,female,05-14 years,0,321900,,2335124988,0.0,Millenials
34,Albania,1989,female,75+ years,0,37000,,2335124988,0.0,G. I. Generation
35,Albania,1989,male,05-14 years,0,349700,,2335124988,0.0,Millenials
36,Albania,1992,male,35-54 years,12,343800,,709452584,3.4904013961605584,Boomers
37,Albania,1992,male,15-24 years,9,263700,,709452584,3.4129692832764507,Generation X
38,Albania,1992,male,55-74 years,5,159500,,709452584,3.134796238244514,Silent
39,Albania,1992,male,25-34 years,7,245500,,709452584,2.8513238289205702,Generation X
40,Albania,1992,female,15-24 years,7,292400,,709452584,2.3939808481532148,Generation X
41,Albania,1992,female,25-34 years,4,267400,,709452584,1.4958863126402393,Generation X
42,Albania,1992,female,35-54 years,2,323100,,709452584,0.6190034045187248,Boomers
43,Albania,1992,female,55-74 years,1,164900,,709452584,0.6064281382656155,Silent
44,Albania,1992,female,05-14 years,0,336700,,709452584,0.0,Millenials
45,Albania,1992,female,75+ years,0,38700,,709452584,0.0,G. I. Generation
46,Albania,1992,male,05-14 years,0,362900,,709452584,0.0,Millenials
47,Albania,1992,male,75+ years,0,23900,,709452584,0.0,G. I. Generation
48,Albania,1993,male,15-24 years,18,243300,,1228071038,7.398273736128237,Generation X
49,Albania,1993,male,55-74 years,7,165000,,1228071038,4.242424242424242,Silent
50,Albania,1993,male,75+ years,1,24200,,1228071038,4.132231404958677,G. I. Generation
51,Albania,1993,male,25-34 years,9,230100,,1228071038,3.911342894393742,Generation X
52,Albania,1993,female,15-24 years,1,285300,,1228071038,0.3505082369435682,Generation X
53,Albania,1993,male,35-54 years,1,350300,,1228071038,0.28546959748786754,Boomers
54,Albania,1993,female,25-34 years,7,261800,,1228071038,2.6737967914438503,Generation X
55,Albania,1993,female,35-54 years,7,331200,,1228071038,2.1135265700483092,Boomers
56,Albania,1993,female,55-74 years,2,169500,,1228071038,1.1799410029498525,Silent
57,Albania,1993,female,05-14 years,1,340300,,1228071038,0.29385836027034967,Millenials
58,Albania,1993,male,05-14 years,1,367000,,1228071038,0.2724795640326976,Millenials
59,Albania,1993,female,75+ years,0,39300,,1228071038,0.0,G. I. Generation
60,Albania,1994,male,75+ years,2,24600,,1985673798,8.130081300813009,G. I. Generation
61,Albania,1994,male,55-74 years,11,171400,,1985673798,6.417736289381564,Silent
62,Albania,1994,female,75+ years,2,39900,,1985673798,5.012531328320802,G. I. Generation
63,Albania,1994,male,25-34 years,6,231400,,1985673798,2.592912705272256,Generation X
64,Albania,1994,male,35-54 years,9,362800,,1985673798,2.4807056229327453,Boomers
65,Albania,1994,male,15-24 years,6,242200,,1985673798,2.477291494632535,Generation X
66,Albania,1994,female,15-24 years,6,282600,,1985673798,2.1231422505307855,Generation X
67,Albania,1994,female,25-34 years,4,261100,,1985673798,1.5319800842589046,Generation X
68,Albania,1994,female,35-54 years,2,342500,,1985673798,0.583941605839416,Boomers
69,Albania,1994,female,55-74 years,1,174600,,1985673798,0.572737686139748,Silent
70,Albania,1994,male,05-14 years,1,371800,,1985673798,0.2689618074233459,Millenials
71,Albania,1994,female,05-14 years,0,344400,,1985673798,0.0,Millenials
72,Albania,1995,male,25-34 years,13,232900,0.619,2424499009,5.5817947617003005,Generation X
73,Albania,1995,male,55-74 years,9,178000,0.619,2424499009,5.056179775280899,Silent
74,Albania,1995,female,75+ years,2,40800,0.619,2424499009,4.901960784313726,G. I. Generation
75,Albania,1995,female,15-24 years,13,283500,0.619,2424499009,4.585537918871252,Generation X
76,Albania,1995,male,15-24 years,11,241200,0.619,2424499009,4.560530679933665,Generation X
77,Albania,1995,male,75+ years,1,25100,0.619,2424499009,3.9840637450199203,G. I. Generation
78,Albania,1995,male,35-54 years,14,375900,0.619,2424499009,3.7243947858473,Boomers
79,Albania,1995,female,25-34 years,7,264000,0.619,2424499009,2.6515151515151514,Generation X
80,Albania,1995,female,35-54 years,8,356400,0.619,2424499009,2.244668911335578,Boomers
81,Albania,1995,male,05-14 years,6,376500,0.619,2424499009,1.593625498007968,Millenials
82,Albania,1995,female,55-74 years,2,180400,0.619,2424499009,1.1086474501108647,Silent
83,Albania,1995,female,05-14 years,2,348700,0.619,2424499009,0.5735589331803843,Millenials
84,Albania,1996,male,75+ years,2,25400,,3314898292,7.874015748031496,G. I. Generation
85,Albania,1996,male,15-24 years,17,243600,,3314898292,6.9786535303776684,Millenials
86,Albania,1996,male,25-34 years,14,235300,,3314898292,5.949851253718657,Generation X
87,Albania,1996,female,15-24 years,16,287700,,3314898292,5.561348627042058,Millenials
88,Albania,1996,female,75+ years,2,41200,,3314898292,4.854368932038835,G. I. Generation
89,Albania,1996,female,25-34 years,1,267900,,3314898292,0.3732736095558044,Generation X
90,Albania,1996,male,35-54 years,12,379600,,3314898292,3.161222339304531,Boomers
91,Albania,1996,female,35-54 years,9,362000,,3314898292,2.4861878453038675,Boomers
92,Albania,1996,male,55-74 years,3,179900,,3314898292,1.6675931072818233,Silent
93,Albania,1996,female,55-74 years,1,183100,,3314898292,0.5461496450027308,Silent
94,Albania,1996,male,05-14 years,2,380400,,3314898292,0.5257623554153522,Millenials
95,Albania,1996,female,05-14 years,1,354100,,3314898292,0.2824060999717594,Millenials
96,Albania,1997,male,25-34 years,36,236000,,2359903108,15.254237288135593,Generation X
97,Albania,1997,male,15-24 years,33,244400,,2359903108,13.502454991816695,Millenials
98,Albania,1997,male,75+ years,3,25400,,2359903108,11.811023622047244,G. I. Generation
99,Albania,1997,male,35-54 years,3,380800,,2359903108,0.7878151260504201,Boomers
100,Albania,1997,female,15-24 years,21,294000,,2359903108,7.142857142857143,Millenials
101,Albania,1997,male,55-74 years,12,180300,,2359903108,6.655574043261232,Silent
102,Albania,1997,female,25-34 years,16,273900,,2359903108,5.841548010222709,Generation X
103,Albania,1997,female,75+ years,2,42100,,2359903108,4.750593824228028,G. I. Generation
104,Albania,1997,female,35-54 years,7,370100,,2359903108,1.8913807079167793,Boomers
105,Albania,1997,female,05-14 years,6,361800,,2359903108,1.658374792703151,Millenials
106,Albania,1997,male,05-14 years,4,381500,,2359903108,1.0484927916120577,Millenials
107,Albania,1997,female,55-74 years,0,187000,,2359903108,0.0,Silent
108,Albania,1998,male,75+ years,3,25800,,2707123772,11.627906976744185,G. I. Generation
109,Albania,1998,male,15-24 years,27,248800,,2707123772,10.85209003215434,Millenials
110,Albania,1998,female,15-24 years,32,295600,,2707123772,10.825439783491204,Millenials
111,Albania,1998,male,25-34 years,26,240400,,2707123772,10.8153078202995,Generation X
112,Albania,1998,male,35-54 years,29,388200,,2707123772,7.470376094796497,Boomers
113,Albania,1998,male,55-74 years,9,183800,,2707123772,4.896626768226333,Silent
114,Albania,1998,female,25-34 years,1,275300,,2707123772,0.3632401017072285,Generation X
115,Albania,1998,female,55-74 years,6,188200,,2707123772,3.1880977683315623,Silent
116,Albania,1998,female,35-54 years,9,372100,,2707123772,2.4187046492878257,Boomers
117,Albania,1998,male,05-14 years,2,388400,,2707123772,0.5149330587023687,Millenials
118,Albania,1998,female,05-14 years,1,363800,,2707123772,0.2748763056624519,Millenials
119,Albania,1998,female,75+ years,0,42300,,2707123772,0.0,G. I. Generation
120,Albania,1999,male,75+ years,3,25900,,3414760915,11.583011583011583,G. I. Generation
121,Albania,1999,male,15-24 years,24,250600,,3414760915,9.577015163607342,Millenials
122,Albania,1999,female,75+ years,4,42400,,3414760915,9.433962264150944,G. I. Generation
123,Albania,1999,male,35-54 years,31,391100,,3414760915,7.926361544362056,Boomers
124,Albania,1999,male,25-34 years,19,242300,,3414760915,7.841518778373916,Generation X
125,Albania,1999,male,55-74 years,14,185200,,3414760915,7.559395248380129,Silent
126,Albania,1999,female,15-24 years,19,296800,,3414760915,6.401617250673854,Millenials
127,Albania,1999,female,25-34 years,13,276500,,3414760915,4.701627486437613,Generation X
128,Albania,1999,female,55-74 years,6,188800,,3414760915,3.1779661016949152,Silent
129,Albania,1999,female,35-54 years,5,373600,,3414760915,1.3383297644539613,Boomers
130,Albania,1999,female,05-14 years,1,365200,,3414760915,0.2738225629791895,Millenials
131,Albania,1999,male,05-14 years,0,391300,,3414760915,0.0,Millenials
132,Albania,2000,male,25-34 years,17,232000,0.656,3632043908,7.327586206896552,Generation X
133,Albania,2000,male,55-74 years,1,177400,0.656,3632043908,0.5636978579481398,Silent
134,Albania,2000,female,75+ years,2,37800,0.656,3632043908,5.291005291005291,G. I. Generation
135,Albania,2000,male,75+ years,1,24900,0.656,3632043908,4.016064257028113,G. I. Generation
136,Albania,2000,female,15-24 years,6,263900,0.656,3632043908,2.2735884804850324,Millenials
137,Albania,2000,male,15-24 years,5,240000,0.656,3632043908,2.0833333333333335,Millenials
138,Albania,2000,female,35-54 years,5,332200,0.656,3632043908,1.5051173991571343,Generation X
139,Albania,2000,female,25-34 years,3,245800,0.656,3632043908,1.2205044751830756,Generation X
140,Albania,2000,male,35-54 years,4,374700,0.656,3632043908,1.0675206832132373,Generation X
141,Albania,2000,male,05-14 years,1,374900,0.656,3632043908,0.2667377967457989,Millenials
142,Albania,2000,female,05-14 years,0,324700,0.656,3632043908,0.0,Millenials
143,Albania,2000,female,55-74 years,0,168000,0.656,3632043908,0.0,Silent
144,Albania,2001,male,25-34 years,22,206484,,4060758804,10.65457856298793,Generation X
145,Albania,2001,male,35-54 years,34,378826,,4060758804,8.975096746263455,Generation X
146,Albania,2001,male,55-74 years,11,196670,,4060758804,5.59312554024508,Boomers
147,Albania,2001,female,75+ years,2,47254,,4060758804,4.232445930503238,G. I. Generation
148,Albania,2001,male,15-24 years,1,256039,,4060758804,0.3905654997871418,Millenials
149,Albania,2001,female,15-24 years,9,271359,,4060758804,3.316639580776757,Millenials
150,Albania,2001,female,35-54 years,12,370191,,4060758804,3.2415698922988403,Generation X
151,Albania,2001,male,75+ years,1,31044,,4060758804,3.2212343770132716,G. I. Generation
152,Albania,2001,female,55-74 years,6,189799,,4060758804,3.161238994936749,Boomers
153,Albania,2001,male,05-14 years,6,321556,,4060758804,1.8659269303014094,Generation Z
154,Albania,2001,female,25-34 years,4,222771,,4060758804,1.7955658501330962,Generation X
155,Albania,2001,female,05-14 years,2,307356,,4060758804,0.6507112273715171,Generation Z
156,Albania,2002,male,75+ years,4,31007,,4435078648,12.90031283258619,G. I. Generation
157,Albania,2002,male,25-34 years,23,206286,,4435078648,11.14956904491822,Generation X
158,Albania,2002,male,35-54 years,35,382139,,4435078648,9.158970950360994,Generation X
159,Albania,2002,male,55-74 years,13,198130,,4435078648,6.561348609498814,Boomers
160,Albania,2002,male,15-24 years,15,263067,,4435078648,5.701969460251571,Millenials
161,Albania,2002,female,15-24 years,14,275970,,4435078648,5.073015182809725,Millenials
162,Albania,2002,female,35-54 years,15,375113,,4435078648,3.998795029764364,Generation X
163,Albania,2002,female,25-34 years,7,223685,,4435078648,3.1294007197621654,Generation X
164,Albania,2002,female,75+ years,1,47407,,4435078648,2.1093931275971904,G. I. Generation
165,Albania,2002,female,55-74 years,4,191712,,4435078648,2.086463027875146,Boomers
166,Albania,2002,female,05-14 years,1,304850,,4435078648,0.3280301787764474,Generation Z
167,Albania,2002,male,05-14 years,1,319473,,4435078648,0.31301549739727613,Generation Z
168,Albania,2003,female,75+ years,6,49088,,5746945913,12.222946544980443,Silent
169,Albania,2003,male,55-74 years,16,201520,,5746945913,7.939658594680429,Boomers
170,Albania,2003,male,35-54 years,28,386196,,5746945913,7.250204559342924,Generation X
171,Albania,2003,male,15-24 years,15,273235,,5746945913,5.489779859827621,Millenials
172,Albania,2003,female,15-24 years,14,283709,,5746945913,4.934633726811628,Millenials
173,Albania,2003,female,55-74 years,9,195699,,5746945913,4.598899330093664,Boomers
174,Albania,2003,male,25-34 years,9,205433,,5746945913,4.380990395895499,Generation X
175,Albania,2003,female,25-34 years,9,222941,,5746945913,4.036942509453174,Generation X
176,Albania,2003,female,35-54 years,13,381760,,5746945913,3.4052808046940486,Generation X
177,Albania,2003,male,75+ years,1,32667,,5746945913,3.06119325313007,Silent
178,Albania,2003,male,05-14 years,4,313204,,5746945913,1.27712289753643,Generation Z
179,Albania,2003,female,05-14 years,0,298477,,5746945913,0.0,Generation Z
180,Albania,2004,male,75+ years,4,35526,,7314865176,11.259359342453415,Silent
181,Albania,2004,male,35-54 years,39,391767,,7314865176,9.95489666051505,Generation X
182,Albania,2004,male,25-34 years,16,203938,,7314865176,7.845521678157087,Generation X
183,Albania,2004,female,15-24 years,2,292268,,7314865176,0.6843034475207687,Millenials
184,Albania,2004,male,15-24 years,19,286768,,7314865176,6.625564916587625,Millenials
185,Albania,2004,female,75+ years,3,50970,,7314865176,5.885815185403178,Silent
186,Albania,2004,female,25-34 years,11,222389,,7314865176,4.9462878109978465,Generation X
187,Albania,2004,male,55-74 years,1,207202,,7314865176,0.48262082412331925,Boomers
188,Albania,2004,female,35-54 years,17,391436,,7314865176,4.342983271850315,Generation X
189,Albania,2004,female,55-74 years,3,203841,,7314865176,1.4717353231194903,Boomers
190,Albania,2004,female,05-14 years,3,286705,,7314865176,1.0463717061090667,Generation Z
191,Albania,2004,male,05-14 years,1,302181,,7314865176,0.3309274904775615,Generation Z
192,Albania,2005,female,15-24 years,0,281922,0.695,8158548717,0.0,Millenials
193,Albania,2005,female,25-34 years,0,190745,0.695,8158548717,0.0,Generation X
194,Albania,2005,female,35-54 years,0,386513,0.695,8158548717,0.0,Generation X
195,Albania,2005,female,05-14 years,0,276559,0.695,8158548717,0.0,Generation Z
196,Albania,2005,female,55-74 years,0,210998,0.695,8158548717,0.0,Boomers
197,Albania,2005,female,75+ years,0,53191,0.695,8158548717,0.0,Silent
198,Albania,2005,male,15-24 years,0,281675,0.695,8158548717,0.0,Millenials
199,Albania,2005,male,25-34 years,0,177519,0.695,8158548717,0.0,Generation X
200,Albania,2005,male,35-54 years,0,380242,0.695,8158548717,0.0,Generation X
201,Albania,2005,male,05-14 years,0,291367,0.695,8158548717,0.0,Generation Z
202,Albania,2005,male,55-74 years,0,214118,0.695,8158548717,0.0,Boomers
203,Albania,2005,male,75+ years,0,38471,0.695,8158548717,0.0,Silent
204,Albania,2006,female,15-24 years,0,283138,,8992642349,0.0,Millenials
205,Albania,2006,female,25-34 years,0,186391,,8992642349,0.0,Millenials
206,Albania,2006,female,35-54 years,0,388746,,8992642349,0.0,Generation X
207,Albania,2006,female,05-14 years,0,267316,,8992642349,0.0,Generation Z
208,Albania,2006,female,55-74 years,0,215907,,8992642349,0.0,Boomers
209,Albania,2006,female,75+ years,0,56011,,8992642349,0.0,Silent
210,Albania,2006,male,15-24 years,0,286679,,8992642349,0.0,Millenials
211,Albania,2006,male,25-34 years,0,174092,,8992642349,0.0,Millenials
212,Albania,2006,male,35-54 years,0,379076,,8992642349,0.0,Generation X
213,Albania,2006,male,05-14 years,0,282678,,8992642349,0.0,Generation Z
214,Albania,2006,male,55-74 years,0,219360,,8992642349,0.0,Boomers
215,Albania,2006,male,75+ years,0,40782,,8992642349,0.0,Silent
216,Albania,2007,male,75+ years,8,42366,,10701011897,18.883066610017465,Silent
217,Albania,2007,male,35-54 years,29,378626,,10701011897,7.659273267023395,Generation X
218,Albania,2007,male,55-74 years,14,224160,,10701011897,6.245538900785154,Boomers
219,Albania,2007,female,75+ years,3,57404,,10701011897,5.226116646923559,Silent
220,Albania,2007,male,25-34 years,9,172494,,10701011897,5.217572785140352,Millenials
221,Albania,2007,female,15-24 years,13,281080,,10701011897,4.625017788529956,Millenials
222,Albania,2007,male,15-24 years,13,288349,,10701011897,4.508425553756038,Millenials
223,Albania,2007,female,25-34 years,8,183629,,10701011897,4.356610339325488,Millenials
224,Albania,2007,female,55-74 years,9,221120,,10701011897,4.070188133140376,Boomers
225,Albania,2007,female,35-54 years,14,391811,,10701011897,3.573151340825041,Generation X
226,Albania,2007,male,05-14 years,4,272497,,10701011897,1.4679060686906644,Generation Z
227,Albania,2007,female,05-14 years,0,256808,,10701011897,0.0,Generation Z
228,Albania,2008,male,25-34 years,21,172855,,12881352688,12.148910936912442,Millenials
229,Albania,2008,male,35-54 years,37,377119,,12881352688,9.811226695021995,Generation X
230,Albania,2008,male,55-74 years,21,228672,,12881352688,9.183459277917716,Boomers
231,Albania,2008,female,75+ years,5,59369,,12881352688,8.421903687109435,Silent
232,Albania,2008,female,15-24 years,2,276073,,12881352688,0.7244460704234025,Millenials
233,Albania,2008,female,25-34 years,9,182663,,12881352688,4.9271062010368825,Millenials
234,Albania,2008,female,35-54 years,19,393832,,12881352688,4.824392126592049,Generation X
235,Albania,2008,male,75+ years,2,44574,,12881352688,4.486920626374119,Silent
236,Albania,2008,male,15-24 years,11,286702,,12881352688,3.836736402257396,Millenials
237,Albania,2008,female,55-74 years,7,226448,,12881352688,3.0912174097364518,Boomers
238,Albania,2008,male,05-14 years,7,262464,,12881352688,2.6670324311143623,Generation Z
239,Albania,2008,female,05-14 years,1,246288,,12881352688,0.4060287143506789,Generation Z
240,Albania,2009,female,15-24 years,0,270003,,12044212904,0.0,Millenials
241,Albania,2009,female,25-34 years,0,182712,,12044212904,0.0,Millenials
242,Albania,2009,female,35-54 years,0,394286,,12044212904,0.0,Generation X
243,Albania,2009,female,05-14 years,0,236174,,12044212904,0.0,Generation Z
244,Albania,2009,female,55-74 years,0,233302,,12044212904,0.0,Boomers
245,Albania,2009,female,75+ years,0,61582,,12044212904,0.0,Silent
246,Albania,2009,male,15-24 years,0,283448,,12044212904,0.0,Millenials
247,Albania,2009,male,25-34 years,0,174955,,12044212904,0.0,Millenials
248,Albania,2009,male,35-54 years,0,374365,,12044212904,0.0,Generation X
249,Albania,2009,male,05-14 years,0,253007,,12044212904,0.0,Generation Z
250,Albania,2009,male,55-74 years,0,234570,,12044212904,0.0,Boomers
251,Albania,2009,male,75+ years,0,47331,,12044212904,0.0,Silent
252,Albania,2010,male,55-74 years,2,241852,0.722,11926953259,0.8269520202437854,Boomers
253,Albania,2010,male,35-54 years,2,371611,0.722,11926953259,0.5381972008363585,Generation X
254,Albania,2010,male,25-34 years,9,179720,0.722,11926953259,5.0077898953928335,Millenials
255,Albania,2010,male,75+ years,2,50767,0.722,11926953259,3.93956704158213,Silent
256,Albania,2010,male,15-24 years,1,279508,0.722,11926953259,0.35777151280106473,Millenials
257,Albania,2010,female,25-34 years,6,183579,0.722,11926953259,3.2683476868269246,Millenials
258,Albania,2010,female,75+ years,2,64415,0.722,11926953259,3.10486687883257,Silent
259,Albania,2010,female,35-54 years,12,394593,0.722,11926953259,3.0411081798207267,Generation X
260,Albania,2010,female,55-74 years,7,241491,0.722,11926953259,2.8986587491873403,Boomers
261,Albania,2010,female,15-24 years,6,263581,0.722,11926953259,2.2763401003865984,Millenials
262,Albania,2010,female,05-14 years,2,223969,0.722,11926953259,0.8929807250110506,Generation Z
263,Albania,2010,male,05-14 years,0,240939,0.722,11926953259,0.0,Generation Z
264,Antigua and Barbuda,1985,female,15-24 years,0,7709,,240923926,0.0,Generation X
265,Antigua and Barbuda,1985,female,25-34 years,0,6344,,240923926,0.0,Boomers
266,Antigua and Barbuda,1985,female,35-54 years,0,6173,,240923926,0.0,Boomers
267,Antigua and Barbuda,1985,female,05-14 years,0,7339,,240923926,0.0,Generation X
268,Antigua and Barbuda,1985,female,55-74 years,0,3778,,240923926,0.0,Silent
269,Antigua and Barbuda,1985,female,75+ years,0,949,,240923926,0.0,G. I. Generation
270,Antigua and Barbuda,1985,male,15-24 years,0,7667,,240923926,0.0,Generation X
271,Antigua and Barbuda,1985,male,25-34 years,0,6194,,240923926,0.0,Boomers
272,Antigua and Barbuda,1985,male,35-54 years,0,5970,,240923926,0.0,Boomers
273,Antigua and Barbuda,1985,male,05-14 years,0,7304,,240923926,0.0,Generation X
274,Antigua and Barbuda,1985,male,55-74 years,0,2723,,240923926,0.0,Silent
275,Antigua and Barbuda,1985,male,75+ years,0,424,,240923926,0.0,G. I. Generation
276,Antigua and Barbuda,1986,female,15-24 years,0,7668,,290440148,0.0,Generation X
277,Antigua and Barbuda,1986,female,25-34 years,0,6209,,290440148,0.0,Boomers
278,Antigua and Barbuda,1986,female,35-54 years,0,6101,,290440148,0.0,Boomers
279,Antigua and Barbuda,1986,female,05-14 years,0,6907,,290440148,0.0,Millenials
280,Antigua and Barbuda,1986,female,55-74 years,0,3764,,290440148,0.0,Silent
281,Antigua and Barbuda,1986,female,75+ years,0,1014,,290440148,0.0,G. I. Generation
282,Antigua and Barbuda,1986,male,15-24 years,0,7563,,290440148,0.0,Generation X
283,Antigua and Barbuda,1986,male,25-34 years,0,6023,,290440148,0.0,Boomers
284,Antigua and Barbuda,1986,male,35-54 years,0,5947,,290440148,0.0,Boomers
285,Antigua and Barbuda,1986,male,05-14 years,0,6827,,290440148,0.0,Millenials
286,Antigua and Barbuda,1986,male,55-74 years,0,2771,,290440148,0.0,Silent
287,Antigua and Barbuda,1986,male,75+ years,0,476,,290440148,0.0,G. I. Generation
288,Antigua and Barbuda,1987,female,15-24 years,0,7583,,337174852,0.0,Generation X
289,Antigua and Barbuda,1987,female,25-34 years,0,6101,,337174852,0.0,Boomers
290,Antigua and Barbuda,1987,female,35-54 years,0,6059,,337174852,0.0,Boomers
291,Antigua and Barbuda,1987,female,05-14 years,0,6623,,337174852,0.0,Millenials
292,Antigua and Barbuda,1987,female,55-74 years,0,3738,,337174852,0.0,Silent
293,Antigua and Barbuda,1987,female,75+ years,0,1081,,337174852,0.0,G. I. Generation
294,Antigua and Barbuda,1987,male,15-24 years,0,7421,,337174852,0.0,Generation X
295,Antigua and Barbuda,1987,male,25-34 years,0,5893,,337174852,0.0,Boomers
296,Antigua and Barbuda,1987,male,35-54 years,0,5927,,337174852,0.0,Boomers
297,Antigua and Barbuda,1987,male,05-14 years,0,6499,,337174852,0.0,Millenials
298,Antigua and Barbuda,1987,male,55-74 years,0,2798,,337174852,0.0,Silent
299,Antigua and Barbuda,1987,male,75+ years,0,538,,337174852,0.0,G. I. Generation
300,Antigua and Barbuda,1988,female,15-24 years,0,7413,,398637741,0.0,Generation X
301,Antigua and Barbuda,1988,female,25-34 years,0,6041,,398637741,0.0,Boomers
302,Antigua and Barbuda,1988,female,35-54 years,0,6021,,398637741,0.0,Boomers
303,Antigua and Barbuda,1988,female,05-14 years,0,6527,,398637741,0.0,Millenials
304,Antigua and Barbuda,1988,female,55-74 years,0,3708,,398637741,0.0,Silent
305,Antigua and Barbuda,1988,female,75+ years,0,1141,,398637741,0.0,G. I. Generation
306,Antigua and Barbuda,1988,male,15-24 years,0,7209,,398637741,0.0,Generation X
307,Antigua and Barbuda,1988,male,25-34 years,0,5826,,398637741,0.0,Boomers
308,Antigua and Barbuda,1988,male,35-54 years,0,5907,,398637741,0.0,Boomers
309,Antigua and Barbuda,1988,male,05-14 years,0,6355,,398637741,0.0,Millenials
310,Antigua and Barbuda,1988,male,55-74 years,0,2813,,398637741,0.0,Silent
311,Antigua and Barbuda,1988,male,75+ years,0,603,,398637741,0.0,G. I. Generation
312,Antigua and Barbuda,1989,female,15-24 years,0,7152,,438794778,0.0,Generation X
313,Antigua and Barbuda,1989,female,25-34 years,0,6059,,438794778,0.0,Boomers
314,Antigua and Barbuda,1989,female,35-54 years,0,5969,,438794778,0.0,Boomers
315,Antigua and Barbuda,1989,female,05-14 years,0,6621,,438794778,0.0,Millenials
316,Antigua and Barbuda,1989,female,55-74 years,0,3696,,438794778,0.0,Silent
317,Antigua and Barbuda,1989,female,75+ years,0,1195,,438794778,0.0,G. I. Generation
318,Antigua and Barbuda,1989,male,15-24 years,0,6927,,438794778,0.0,Generation X
319,Antigua and Barbuda,1989,male,25-34 years,0,5835,,438794778,0.0,Boomers
320,Antigua and Barbuda,1989,male,35-54 years,0,5862,,438794778,0.0,Boomers
321,Antigua and Barbuda,1989,male,05-14 years,0,6403,,438794778,0.0,Millenials
322,Antigua and Barbuda,1989,male,55-74 years,0,2843,,438794778,0.0,Silent
323,Antigua and Barbuda,1989,male,75+ years,0,676,,438794778,0.0,G. I. Generation
324,Antigua and Barbuda,1990,male,35-54 years,1,5799,,459469074,17.24435247456458,Boomers
325,Antigua and Barbuda,1990,female,15-24 years,0,6827,,459469074,0.0,Generation X
326,Antigua and Barbuda,1990,female,25-34 years,0,6172,,459469074,0.0,Generation X
327,Antigua and Barbuda,1990,female,35-54 years,0,5895,,459469074,0.0,Boomers
328,Antigua and Barbuda,1990,female,05-14 years,0,6877,,459469074,0.0,Millenials
329,Antigua and Barbuda,1990,female,55-74 years,0,3706,,459469074,0.0,Silent
330,Antigua and Barbuda,1990,female,75+ years,0,1252,,459469074,0.0,G. I. Generation
331,Antigua and Barbuda,1990,male,15-24 years,0,6598,,459469074,0.0,Generation X
332,Antigua and Barbuda,1990,male,25-34 years,0,5937,,459469074,0.0,Generation X
333,Antigua and Barbuda,1990,male,05-14 years,0,6611,,459469074,0.0,Millenials
334,Antigua and Barbuda,1990,male,55-74 years,0,2902,,459469074,0.0,Silent
